22/02/2022 21:17:28, DPS310, P, 99165.06
22/02/2022 21:17:29, DPS310, P, 99165.28
22/02/2022 21:17:29, DPS310, P, 99164.97
22/02/2022 21:17:30, DPS310, P, 99165.13
22/02/2022 21:17:31, DPS310, P, 99164.85
22/02/2022 21:17:31, DPS310, P, 99165.00
22/02/2022 21:17:31, DPS310, P, 99164.96
22/02/2022 21:17:32, DPS310, P, 99165.04
22/02/2022 21:17:32, DPS310, P, 99165.03
22/02/2022 21:17:33, DPS310, P, 99165.00
22/02/2022 21:17:33, DPS310, P, 99165.03
22/02/2022 21:17:34, DPS310, P, 99165.12
22/02/2022 21:17:34, DPS310, P, 99165.12
22/02/2022 21:17:35, DPS310, P, 99165.11
22/02/2022 21:17:36, DPS310, P, 99165.14
22/02/2022 21:17:36, DPS310, P, 99165.16
22/02/2022 21:17:36, DPS310, P, 99165.04
22/02/2022 21:17:37, DPS310, P, 99165.08
22/02/2022 21:17:37, DPS310, P, 99165.32
22/02/2022 21:17:38, DPS310, P, 99165.37
22/02/2022 21:17:38, DPS310, P, 99165.21
22/02/2022 21:17:39, DPS310, P, 99165.29
22/02/2022 21:17:39, DPS310, P, 99165.23
22/02/2022 21:17:40, DPS310, P, 99165.32
22/02/2022 21:17:41, DPS310, P, 99165.22
22/02/2022 21:17:41, DPS310, P, 99165.28
22/02/2022 21:17:41, DPS310, P, 99165.36
22/02/2022 21:19:20, DPS310, P, 99171.64
22/02/2022 21:19:20, DPS310, P, 99171.72
22/02/2022 21:19:20, DPS310, P, 99171.48
22/02/2022 21:19:20, DPS310, P, 99171.30
22/02/2022 21:19:21, DPS310, P, 99171.49
22/02/2022 21:19:21, DPS310, P, 99171.54
22/02/2022 21:19:21, DPS310, P, 99171.63
22/02/2022 21:19:22, DPS310, P, 99171.58
22/02/2022 21:19:22, DPS310, P, 99171.71
22/02/2022 21:19:22, DPS310, P, 99171.76
22/02/2022 21:19:23, DPS310, P, 99171.67
22/02/2022 21:19:24, DPS310, P, 99171.63
22/02/2022 21:19:24, DPS310, P, 99171.40
22/02/2022 21:19:24, DPS310, P, 99171.53
22/02/2022 21:19:25, DPS310, P, 99171.52
22/02/2022 21:19:25, DPS310, P, 99171.64
22/02/2022 21:19:26, DPS310, P, 99171.41
22/02/2022 21:19:27, DPS310, P, 99171.57
22/02/2022 21:19:27, DPS310, P, 99171.59
22/02/2022 21:19:27, DPS310, P, 99171.48
22/02/2022 21:19:28, DPS310, P, 99171.53
22/02/2022 21:19:28, DPS310, P, 99171.65
22/02/2022 21:19:29, DPS310, P, 99171.62
22/02/2022 21:19:29, DPS310, P, 99171.53
22/02/2022 21:19:30, DPS310, P, 99171.47
22/02/2022 21:19:30, DPS310, P, 99171.47
22/02/2022 21:19:31, DPS310, P, 99171.67
22/02/2022 21:19:31, DPS310, P, 99171.92
22/02/2022 21:19:32, DPS310, P, 99171.75
22/02/2022 21:19:32, DPS310, P, 99171.87
22/02/2022 21:19:33, DPS310, P, 99171.78
22/02/2022 21:19:33, DPS310, P, 99171.78
22/02/2022 21:19:34, DPS310, P, 99171.75
22/02/2022 21:19:34, DPS310, P, 99171.75
22/02/2022 21:19:56, DPS310, P, 99172.24
22/02/2022 21:19:56, DPS310, P, 99172.21
22/02/2022 21:19:56, DPS310, P, 99172.19
22/02/2022 21:19:56, DPS310, P, 99172.26
22/02/2022 21:19:57, DPS310, P, 99172.18
22/02/2022 21:19:57, DPS310, P, 99172.24
22/02/2022 21:19:57, DPS310, P, 99172.46
22/02/2022 21:19:58, DPS310, P, 99172.23
22/02/2022 21:19:58, DPS310, P, 99172.64
22/02/2022 21:19:58, DPS310, P, 99172.50
22/02/2022 21:19:59, DPS310, P, 99172.69
22/02/2022 21:20:00, DPS310, P, 99172.91
22/02/2022 21:20:00, DPS310, P, 99172.84
22/02/2022 21:20:00, DPS310, P, 99172.77
22/02/2022 21:20:01, DPS310, P, 99172.55
