25/02/2022 09:42:51, OPT3001, L, 103.28
25/02/2022 09:42:52, OPT3001, L, 103.60
25/02/2022 09:42:53, OPT3001, L, 104.24
25/02/2022 09:42:54, OPT3001, L, 104.24
25/02/2022 09:42:55, OPT3001, L, 103.92
25/02/2022 09:42:56, OPT3001, L, 103.60
25/02/2022 09:42:57, OPT3001, L, 104.88
25/02/2022 09:42:58, OPT3001, L, 104.88
25/02/2022 09:42:59, OPT3001, L, 105.52
25/02/2022 09:43:00, OPT3001, L, 104.88
25/02/2022 09:43:01, OPT3001, L, 105.84
25/02/2022 09:43:02, OPT3001, L, 105.84
25/02/2022 09:43:03, OPT3001, L, 104.88
25/02/2022 09:43:04, OPT3001, L, 105.20
25/02/2022 09:43:05, OPT3001, L, 105.20
25/02/2022 09:43:06, OPT3001, L, 106.16
25/02/2022 09:43:07, OPT3001, L, 106.80
25/02/2022 09:43:08, OPT3001, L, 106.84
25/02/2022 09:43:09, OPT3001, L, 106.80
25/02/2022 09:43:10, OPT3001, L, 106.20
25/02/2022 09:43:11, OPT3001, L, 106.52
25/02/2022 09:43:12, OPT3001, L, 106.16
25/02/2022 09:43:13, OPT3001, L, 105.20
25/02/2022 09:43:14, OPT3001, L, 105.52
25/02/2022 09:43:15, OPT3001, L, 106.52
25/02/2022 09:43:16, OPT3001, L, 106.48
25/02/2022 09:43:17, OPT3001, L, 108.12
25/02/2022 09:43:18, OPT3001, L, 106.84
25/02/2022 09:43:19, OPT3001, L, 106.84
25/02/2022 09:43:20, OPT3001, L, 106.16
25/02/2022 09:43:21, OPT3001, L, 107.80
25/02/2022 09:43:22, OPT3001, L, 106.52
25/02/2022 09:43:23, OPT3001, L, 105.84
25/02/2022 09:43:24, OPT3001, L, 107.16
25/02/2022 09:43:25, OPT3001, L, 107.48
25/02/2022 09:43:26, OPT3001, L, 107.16
25/02/2022 09:43:27, OPT3001, L, 106.52
25/02/2022 09:43:28, OPT3001, L, 106.48
25/02/2022 09:43:29, OPT3001, L, 106.48
25/02/2022 09:43:30, OPT3001, L, 106.80
25/02/2022 09:43:31, OPT3001, L, 105.52
25/02/2022 09:43:32, OPT3001, L, 106.20
25/02/2022 09:43:33, OPT3001, L, 107.16
25/02/2022 09:43:34, OPT3001, L, 109.72
25/02/2022 09:43:35, OPT3001, L, 107.80
25/02/2022 09:43:36, OPT3001, L, 111.00
25/02/2022 09:43:37, OPT3001, L, 110.36
25/02/2022 09:43:38, OPT3001, L, 111.04
25/02/2022 09:43:39, OPT3001, L, 112.00
25/02/2022 09:43:40, OPT3001, L, 110.08
25/02/2022 09:43:41, OPT3001, L, 110.04
25/02/2022 09:43:42, OPT3001, L, 109.08
25/02/2022 09:43:43, OPT3001, L, 108.76
25/02/2022 09:43:44, OPT3001, L, 110.36
25/02/2022 09:43:45, OPT3001, L, 110.68
25/02/2022 09:43:46, OPT3001, L, 109.72
25/02/2022 09:43:47, OPT3001, L, 108.76
25/02/2022 09:43:48, OPT3001, L, 108.44
25/02/2022 09:43:49, OPT3001, L, 107.80
25/02/2022 09:43:50, OPT3001, L, 106.84
25/02/2022 09:43:51, OPT3001, L, 105.20
25/02/2022 09:43:52, OPT3001, L, 107.16
25/02/2022 09:43:53, OPT3001, L, 106.52
25/02/2022 09:43:54, OPT3001, L, 107.16
25/02/2022 09:43:55, OPT3001, L, 106.84
25/02/2022 09:43:56, OPT3001, L, 106.52
25/02/2022 09:43:57, OPT3001, L, 104.56
25/02/2022 09:43:58, OPT3001, L, 105.20
25/02/2022 09:43:59, OPT3001, L, 105.84
25/02/2022 09:44:00, OPT3001, L, 107.80
25/02/2022 09:44:01, OPT3001, L, 109.40
25/02/2022 09:44:02, OPT3001, L, 110.36
25/02/2022 09:44:03, OPT3001, L, 108.44
25/02/2022 09:44:04, OPT3001, L, 108.76
25/02/2022 09:44:05, OPT3001, L, 109.08
25/02/2022 09:44:06, OPT3001, L, 110.36
25/02/2022 09:44:07, OPT3001, L, 109.72
25/02/2022 09:44:08, OPT3001, L, 109.40
25/02/2022 09:44:09, OPT3001, L, 110.68
25/02/2022 09:44:10, OPT3001, L, 110.36
25/02/2022 09:44:11, OPT3001, L, 109.72
25/02/2022 09:44:12, OPT3001, L, 109.72
25/02/2022 09:44:13, OPT3001, L, 110.04
25/02/2022 09:44:14, OPT3001, L, 110.36
25/02/2022 09:44:15, OPT3001, L, 112.28
25/02/2022 09:44:16, OPT3001, L, 109.08
25/02/2022 09:44:17, OPT3001, L, 109.72
25/02/2022 09:44:18, OPT3001, L, 108.76
25/02/2022 09:44:19, OPT3001, L, 110.36
25/02/2022 09:44:20, OPT3001, L, 110.04
25/02/2022 09:44:21, OPT3001, L, 111.32
25/02/2022 09:44:22, OPT3001, L, 152.52
25/02/2022 09:44:23, OPT3001, L, 146.72
25/02/2022 09:44:24, OPT3001, L, 153.16
25/02/2022 09:44:25, OPT3001, L, 153.80
25/02/2022 09:44:26, OPT3001, L, 128.40
25/02/2022 09:44:27, OPT3001, L, 131.32
25/02/2022 09:44:28, OPT3001, L, 132.92
25/02/2022 09:44:29, OPT3001, L, 132.92
25/02/2022 09:44:30, OPT3001, L, 132.60
25/02/2022 09:44:31, OPT3001, L, 134.20
25/02/2022 09:44:32, OPT3001, L, 133.88
25/02/2022 09:44:33, OPT3001, L, 134.52
